workPackageCode;packageName;resourceType;resourceId;resourceName
EL-RI-004;Кабель по потолку — группа линий / пучок;material;MT-2689-06;Площадка под стяжку для прямого монтажа, чёрная
EL-RI-004;Кабель по потолку — группа линий / пучок;material;MT-2689-07;Стяжка нейлоновая КСС 3×150 ч
EL-RI-004;Кабель по потолку — группа линий / пучок;material;MT-2689-11;ВВГнг-LS 4×1,5(ож)-0,66 ГОСТ
EL-RI-004;Кабель по потолку — группа линий / пучок;material;MT-2689-12;Гвоздь усиленный CN EG bullet point 3,05×17 мм
EL-RI-004;Кабель по потолку — группа линий / пучок;material;MT-2689-30;Газовый баллон для монтажных пистолетов 165 мм
EL-RI-004;Кабель по потолку — группа линий / пучок;material;MT-2689-36;КГВВнг 3×1,5
EL-RI-004;Кабель по потолку — группа линий / пучок;material;MT-2689-40;КГВВнг 3×2,5
EL-RI-004;Кабель по потолку — группа линий / пучок;material;MT-MARK;Материал для маркировки кабелей
EL-RI-005;Коммутационная коробка — монтаж + завод и маркировка кабелей;tool;TL-DRILL;Перфоратор / дрель
EL-RI-005;Коммутационная коробка — монтаж + завод и маркировка кабелей;tool;TL-HAND;Комплект ручного электромонтажного инструмента
EL-RI-005;Коммутационная коробка — монтаж + завод и маркировка кабелей;tool;TL-LABEL;Маркиратор / ручной комплект маркировки
EL-RI-005;Коммутационная коробка — монтаж + завод и маркировка кабелей;tool;TL-LASER;Лазерный уровень / построитель плоскостей
EL-RI-005;Коммутационная коробка — монтаж + завод и маркировка кабелей;tool;TL-MARK;Разметочный инструмент
EL-RI-005;Коммутационная коробка — монтаж + завод и маркировка кабелей;tool;TL-TAPE;Рулетка
EL-RI-005;Коммутационная коробка — монтаж + завод и маркировка кабелей;material;MT-JBOX;Коммутационная коробка требуемого типа и размера
EL-RI-005;Коммутационная коробка — монтаж + завод и маркировка кабелей;material;MT-MARK;Материал для маркировки кабелей
EL-RI-006;Коммутация коробки розеточной сети;tool;TL-CRIMP;Ручной или гидравлический пресс с матрицами
EL-RI-006;Коммутация коробки розеточной сети;tool;TL-HAND;Комплект ручного электромонтажного инструмента
EL-RI-006;Коммутация коробки розеточной сети;tool;TL-HEAT;Строительный фен либо газовая горелка
EL-RI-006;Коммутация коробки розеточной сети;tool;TL-STRIP;Инструмент для снятия оболочки и изоляции
EL-RI-006;Коммутация коробки розеточной сети;material;MT-GML;Гильза медная ГМЛ требуемого сечения
EL-RI-006;Коммутация коробки розеточной сети;material;MT-TTK;Трубка термоусаживаемая клеевая ТТК
EL-RI-007;Коммутация коробки освещения;tool;TL-HAND;Комплект ручного электромонтажного инструмента
EL-RI-007;Коммутация коробки освещения;tool;TL-STRIP;Инструмент для снятия оболочки и изоляции
EL-RI-007;Коммутация коробки освещения;material;MT-WAGO;Согласованная клемма типа WAGO для сети освещения
EL-RI-008;Штробление — вертикальный опуск к подрозетнику;tool;TL-CHASE;Штроборез / резчик
EL-RI-008;Штробление — вертикальный опуск к подрозетнику;tool;TL-CHISEL;Перфоратор/зубило для выборки штробы
EL-RI-008;Штробление — вертикальный опуск к подрозетнику;tool;TL-LASER;Лазерный уровень / построитель плоскостей
EL-RI-008;Штробление — вертикальный опуск к подрозетнику;tool;TL-MARK;Разметочный инструмент
EL-RI-008;Штробление — вертикальный опуск к подрозетнику;tool;TL-TAPE;Рулетка
EL-RI-008;Штробление — вертикальный опуск к подрозетнику;tool;TL-VAC;Промышленный пылесос
EL-RI-009;Заведение кабеля в подрозетник после фиксации;tool;TL-HAND;Комплект ручного электромонтажного инструмента
EL-RI-009;Заведение кабеля в подрозетник после фиксации;tool;TL-LABEL;Маркиратор / ручной комплект маркировки
EL-RI-009;Заведение кабеля в подрозетник после фиксации;tool;TL-VAC;Промышленный пылесос
EL-RI-009;Заведение кабеля в подрозетник после фиксации;material;MT-MARK;Материал для маркировки кабелей
