code;package_code;sequence;name;time_class;role_id;quantity_driver;measurement_scope;crew_rule;tool_ids;material_ids;preconditions;qa;notes
EL-RI-003-10;EL-RI-003;10;Контроль маршрута, крепления и маркировки;T_tech;installer;line_qty;PER_LINE;1;TL-HAND;;;маршрут | шаг крепления | отсутствие повреждений | маркировка;
EL-RI-003-11;EL-RI-003;11;Локальная уборка и перенос остатка бухты;T_tech;installer;package;FIXED_PACKAGE;1;TL-HAND;;;;
EL-RI-004-01;EL-RI-004;1;Сверить состав группы, маркировку и общий маршрут;T_tech;installer;package;FIXED_PACKAGE;1;TL-TAPE;;состав группы задан инженером;;
EL-RI-004-02;EL-RI-004;2;Разметить точки крепления общего маршрута;T_tech;installer;route_length;PER_METER;1;TL-TAPE | TL-MARK | TL-LASER;;;;
EL-RI-004-03;EL-RI-004;3;Подготовить монтажный пистолет, площадки и расходники;T_tech;installer;package;FIXED_PACKAGE;1;TL-GUN;MT-2689-06 | MT-2689-12 | MT-2689-30;;;
EL-RI-004-04;EL-RI-004;4;Пристрелить площадки крепления;T_tech;installer;fastener_qty;PER_FASTENER;1;TL-GUN;MT-2689-06 | MT-2689-12 | MT-2689-30;;;
EL-RI-004-05;EL-RI-004;5;Подготовить и идентифицировать бухты линий группы;T_tech;installer;secondary_qty;PER_CABLE;1;TL-UNWIND | TL-LABEL;MT-2689-01 | MT-2689-02 | MT-2689-03 | MT-2689-04 | MT-2689-11 | MT-2689-36 | MT-2689-40 | MT-MARK;;;
EL-RI-004-06;EL-RI-004;6;Сформировать управляемый пучок для прокладки;T_tech;installer;secondary_qty;PER_CABLE;1;TL-HAND;MT-2689-01 | MT-2689-02 | MT-2689-03 | MT-2689-04 | MT-2689-11 | MT-2689-36 | MT-2689-40;;;
EL-RI-004-07;EL-RI-004;7;Проложить группу кабелей по общему маршруту;T_tech;installer;route_length;PER_METER;1–2 по числу/массе кабелей и условиям маршрута;TL-UNWIND | TL-ACCESS;MT-2689-01 | MT-2689-02 | MT-2689-03 | MT-2689-04 | MT-2689-11 | MT-2689-36 | MT-2689-40;;;
EL-RI-004-08;EL-RI-004;8;Закрепить пучок стяжками на площадках;T_tech;installer;fastener_qty;PER_FASTENER;1;TL-HAND | TL-ACCESS;MT-2689-07;;;
EL-RI-004-09;EL-RI-004;9;Разделить/сформировать технологические запасы линий на концах;T_tech;installer;secondary_qty;PER_CABLE;1;TL-HAND;;;;
EL-RI-004-10;EL-RI-004;10;Промаркировать линии группы на концах;T_tech;installer;secondary_qty;PER_CABLE;1;TL-LABEL;MT-MARK;;;
EL-RI-004-11;EL-RI-004;11;Контроль состава, маршрута, крепления и идентификации;T_tech;installer;package;FIXED_PACKAGE;1;TL-HAND;;;состав группы | маршрут | шаг крепления | маркировка | отсутствие повреждений;
EL-RI-004-12;EL-RI-004;12;Локальная уборка и перенос остатков материалов;T_tech;installer;package;FIXED_PACKAGE;1;TL-HAND;;;;
EL-RI-005-01;EL-RI-005;1;Сверить место, обозначение коробки и перечень кабелей;T_tech;installer;primary_qty;PER_BOX;1;TL-TAPE;;актуальная схема/задание;;
EL-RI-005-02;EL-RI-005;2;Разметить положение коробки и крепления;T_tech;installer;primary_qty;PER_BOX;1;TL-LASER | TL-TAPE | TL-MARK;;;;
EL-RI-005-03;EL-RI-005;3;Подготовить основание и крепёж;T_tech;installer;primary_qty;PER_BOX;1;TL-DRILL | TL-HAND;;;;
EL-RI-005-04;EL-RI-005;4;Закрепить и выровнять коробку;T_tech;installer;primary_qty;PER_BOX;1;TL-DRILL | TL-HAND | TL-LASER;MT-JBOX;;;
EL-RI-005-05;EL-RI-005;5;Подготовить кабельные вводы коробки;T_tech;installer;secondary_qty;PER_CABLE;1;TL-HAND;MT-JBOX;;;
EL-RI-005-06;EL-RI-005;6;Идентифицировать кабель перед вводом;T_tech;installer;secondary_qty;PER_CABLE;1;TL-LABEL;MT-MARK;;;
EL-RI-005-07;EL-RI-005;7;Завести кабель в коробку;T_tech;installer;secondary_qty;PER_CABLE;1;TL-HAND;;;;
EL-RI-005-08;EL-RI-005;8;Сформировать запас кабеля в коробке;T_tech;installer;secondary_qty;PER_CABLE;1;TL-HAND;;;;
EL-RI-005-09;EL-RI-005;9;Промаркировать заведённый кабель;T_tech;installer;secondary_qty;PER_CABLE;1;TL-LABEL;MT-MARK;;;
EL-RI-005-10;EL-RI-005;10;Контроль крепления, вводов, запаса и маркировки;T_tech;installer;primary_qty;PER_BOX;1;TL-HAND;;;жёсткость коробки | кабель не повреждён | запас | маркировка;
EL-RI-005-11;EL-RI-005;11;Закрыть/защитить коробку до коммутации;T_tech;installer;primary_qty;PER_BOX;1;TL-HAND;;;;
EL-RI-006-01;EL-RI-006;1;Сверить маркировку кабелей со схемой;T_tech;installer;primary_qty;PER_BOX;1;TL-HAND;;схема коммутации;;
EL-RI-006-02;EL-RI-006;2;Разложить проводники по группам соединений;T_tech;installer;primary_qty;PER_BOX;1;TL-HAND;;;;
EL-RI-006-03;EL-RI-006;3;Снять оболочку и подготовить жилы;T_tech;installer;secondary_qty;PER_CONNECTION;1;TL-STRIP;;;;
EL-RI-006-04;EL-RI-006;4;Подобрать ГМЛ по сечению и составу жил;T_tech;installer;secondary_qty;PER_CONNECTION;1;TL-HAND;MT-GML;;;
EL-RI-006-05;EL-RI-006;5;Опрессовать соединение;T_tech;installer;secondary_qty;PER_CONNECTION;1;TL-CRIMP;MT-GML;;;
EL-RI-006-06;EL-RI-006;6;Установить клеевую ТТК на соединение;T_tech;installer;secondary_qty;PER_CONNECTION;1;TL-HAND;MT-TTK;;;
EL-RI-006-07;EL-RI-006;7;Усадить ТТК феном/горелкой;T_tech;installer;secondary_qty;PER_CONNECTION;1;TL-HEAT;MT-TTK;;;
EL-RI-006-08;EL-RI-006;8;Проверить качество опрессовки и изоляции;T_tech;installer;secondary_qty;PER_CONNECTION;1;TL-HAND;;;гильза деформирована корректно | нет оголённых участков | ТТК проклеена;
EL-RI-006-09;EL-RI-006;9;Уложить соединения и запасы в коробке;T_tech;installer;primary_qty;PER_BOX;1;TL-HAND;;;;
EL-RI-006-10;EL-RI-006;10;Закрыть коробку;T_tech;installer;primary_qty;PER_BOX;1;TL-HAND;;;;
EL-RI-006-11;EL-RI-006;11;Финальный визуальный контроль и фиксация результата;T_tech;installer;primary_qty;PER_BOX;1;TL-HAND;;;коробка закрыта | маркировка читаема | нет пережатия проводников;
EL-RI-007-01;EL-RI-007;1;Сверить маркировку кабелей со схемой;T_tech;installer;primary_qty;PER_BOX;1;TL-HAND;;схема коммутации;;
EL-RI-007-02;EL-RI-007;2;Разложить проводники по группам соединений;T_tech;installer;primary_qty;PER_BOX;1;TL-HAND;;;;
EL-RI-007-03;EL-RI-007;3;Снять оболочку и подготовить жилы;T_tech;installer;secondary_qty;PER_CONNECTION;1;TL-STRIP;;;;
EL-RI-007-04;EL-RI-007;4;Подобрать согласованную клемму WAGO;T_tech;installer;secondary_qty;PER_CONNECTION;1;TL-HAND;MT-WAGO;;;
EL-RI-007-05;EL-RI-007;5;Выполнить коммутацию в клемме;T_tech;installer;secondary_qty;PER_CONNECTION;1;TL-HAND;MT-WAGO;;;
EL-RI-007-06;EL-RI-007;6;Проверить фиксацию проводников в клемме;T_tech;installer;secondary_qty;PER_CONNECTION;1;TL-HAND;;;жила вставлена до упора | нет оголённой меди вне клеммы;
EL-RI-007-07;EL-RI-007;7;Уложить соединения и запасы в коробке;T_tech;installer;primary_qty;PER_BOX;1;TL-HAND;;;;
EL-RI-007-08;EL-RI-007;8;Закрыть коробку;T_tech;installer;primary_qty;PER_BOX;1;TL-HAND;;;;
EL-RI-007-09;EL-RI-007;9;Финальный визуальный контроль;T_tech;installer;primary_qty;PER_BOX;1;TL-HAND;;;коробка закрыта | маркировка читаема | нет пережатия проводников;
EL-RI-008-01;EL-RI-008;1;Сверить вертикальный опуск и конечную точку;T_tech;installer;secondary_qty;PER_DROP;1;TL-LASER | TL-TAPE;;актуальная трасса;;
EL-RI-008-02;EL-RI-008;2;Разметить границы штробы;T_tech;installer;primary_qty;PER_METER;1;TL-LASER | TL-MARK;;;;
EL-RI-008-03;EL-RI-008;3;Подготовить пылеудаление и защитить локальную зону;T_tech;installer;package;FIXED_PACKAGE;1;TL-VAC;;;;
EL-RI-008-04;EL-RI-008;4;Прорезать границы штробы;T_tech;installer;primary_qty;PER_METER;1;TL-CHASE | TL-VAC;;;;
EL-RI-008-05;EL-RI-008;5;Выбрать материал между резами;T_tech;installer;primary_qty;PER_METER;1;TL-CHISEL | TL-VAC;;;;
EL-RI-008-06;EL-RI-008;6;Доработать дно и края штробы;T_tech;installer;primary_qty;PER_METER;1;TL-CHISEL;;;;
EL-RI-008-07;EL-RI-008;7;Очистить штробу от пыли и крошки;T_tech;installer;primary_qty;PER_METER;1;TL-VAC;;;;
EL-RI-008-08;EL-RI-008;8;Контроль глубины, ширины и маршрута;T_tech;installer;secondary_qty;PER_DROP;1;TL-TAPE;;;маршрут | достаточная глубина | нет лишних повреждений;
EL-RI-008-09;EL-RI-008;9;Локальная уборка зоны;T_tech;installer;package;FIXED_PACKAGE;1;TL-VAC;;;;
EL-RI-009-01;EL-RI-009;1;Проверить достаточную прочность фиксации подрозетника;T_tech;installer;primary_qty;PER_UNIT;1;TL-HAND;;монтажный состав затвердел;;
EL-RI-009-02;EL-RI-009;2;Очистить подрозетник от монтажного состава;T_tech;installer;primary_qty;PER_UNIT;1;TL-HAND | TL-VAC;;;;
EL-RI-009-03;EL-RI-009;3;Подготовить штатный ввод под кабель;T_tech;installer;secondary_qty;PER_CABLE;1;TL-HAND;;;;
EL-RI-009-04;EL-RI-009;4;Идентифицировать требуемый кабель;T_tech;installer;secondary_qty;PER_CABLE;1;TL-LABEL;MT-MARK;;;
EL-RI-009-05;EL-RI-009;5;Завести кабель в подрозетник;T_tech;installer;secondary_qty;PER_CABLE;1;TL-HAND;;;;
EL-RI-009-06;EL-RI-009;6;Сформировать технологический запас кабеля;T_tech;installer;secondary_qty;PER_CABLE;1;TL-HAND;;;;
EL-RI-009-07;EL-RI-009;7;Уложить запас без повреждения изоляции;T_tech;installer;secondary_qty;PER_CABLE;1;TL-HAND;;;;
EL-RI-009-08;EL-RI-009;8;Промаркировать кабель;T_tech;installer;secondary_qty;PER_CABLE;1;TL-LABEL;MT-MARK;;;
EL-RI-009-09;EL-RI-009;9;Контроль коробки, кабеля, запаса и маркировки;T_tech;installer;primary_qty;PER_UNIT;1;TL-HAND;;;коробка не расшатана | изоляция не повреждена | запас достаточен | маркировка читаема;
EL-RI-009-10;EL-RI-009;10;Локальная уборка;T_tech;installer;package;FIXED_PACKAGE;1;TL-VAC;;;;
